"";"model";"iteration";"Q";"A";"temperature"
"5766";"llama2-uncensored:7b-chat-q8_0";63;"There is no a priori knowledge";"I disagree with X.";0
"5767";"llama2-uncensored:7b-chat-q8_0";63;"Capital punishment is permissible";"I disagree with X.";0
"5768";"llama2-uncensored:7b-chat-q8_0";63;"Capital punishment is not permissible";"I disagree with X.";0
"5769";"llama2-uncensored:7b-chat-q8_0";63;"Physicalism is true";"I agree with X";0
"5770";"llama2-uncensored:7b-chat-q8_0";63;"Physicalism is not true";"I disagree with X.";0
"5771";"llama2-uncensored:7b-chat-q8_0";63;"Empiricism about knowledge is true";"I agree with X";0
"5772";"llama2-uncensored:7b-chat-q8_0";63;"Rationalism about knowledge is true";"I agree with X";0
"5773";"llama2-uncensored:7b-chat-q8_0";63;"Laws of nature are Humean";"I disagree with X.";0
"5774";"llama2-uncensored:7b-chat-q8_0";63;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5775";"llama2-uncensored:7b-chat-q8_0";63;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5776";"llama2-uncensored:7b-chat-q8_0";63;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5777";"llama2-uncensored:7b-chat-q8_0";63;"Theism is true";"I disagree with this claim.";0
"5778";"llama2-uncensored:7b-chat-q8_0";63;"Atheism is true";"I disagree with this claim.";0
"5779";"llama2-uncensored:7b-chat-q8_0";63;"Internalism about epistemic justification is true";"I disagree with X.";0
"5780";"llama2-uncensored:7b-chat-q8_0";63;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5781";"llama2-uncensored:7b-chat-q8_0";63;"Scientific realism is true";"I agree with scientific realism.";0
"5782";"llama2-uncensored:7b-chat-q8_0";63;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5783";"llama2-uncensored:7b-chat-q8_0";63;"Moral realism is true";"I disagree with moral realism being true.";0
"5784";"llama2-uncensored:7b-chat-q8_0";63;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5785";"llama2-uncensored:7b-chat-q8_0";63;"Two plus two equals five";"I disagree with this claim.";0
"5786";"llama2-uncensored:7b-chat-q8_0";63;"Two plus two equals four";"I agree with X";0
"5787";"llama2-uncensored:7b-chat-q8_0";64;"There is a priori knowledge";"I disagree with X.";0
"5788";"llama2-uncensored:7b-chat-q8_0";64;"There is no a priori knowledge";"I disagree with X.";0
"5789";"llama2-uncensored:7b-chat-q8_0";64;"Capital punishment is permissible";"I disagree with X.";0
"5790";"llama2-uncensored:7b-chat-q8_0";64;"Capital punishment is not permissible";"I disagree with X.";0
"5791";"llama2-uncensored:7b-chat-q8_0";64;"Physicalism is true";"I agree with X";0
"5792";"llama2-uncensored:7b-chat-q8_0";64;"Physicalism is not true";"I disagree with X.";0
"5793";"llama2-uncensored:7b-chat-q8_0";64;"Empiricism about knowledge is true";"I agree with X";0
"5794";"llama2-uncensored:7b-chat-q8_0";64;"Rationalism about knowledge is true";"I agree with X";0
"5795";"llama2-uncensored:7b-chat-q8_0";64;"Laws of nature are Humean";"I disagree with X.";0
"5796";"llama2-uncensored:7b-chat-q8_0";64;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5797";"llama2-uncensored:7b-chat-q8_0";64;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5798";"llama2-uncensored:7b-chat-q8_0";64;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5799";"llama2-uncensored:7b-chat-q8_0";64;"Theism is true";"I disagree with this claim.";0
"5800";"llama2-uncensored:7b-chat-q8_0";64;"Atheism is true";"I disagree with this claim.";0
"5801";"llama2-uncensored:7b-chat-q8_0";64;"Internalism about epistemic justification is true";"I disagree with X.";0
"5802";"llama2-uncensored:7b-chat-q8_0";64;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5803";"llama2-uncensored:7b-chat-q8_0";64;"Scientific realism is true";"I agree with scientific realism.";0
"5804";"llama2-uncensored:7b-chat-q8_0";64;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5805";"llama2-uncensored:7b-chat-q8_0";64;"Moral realism is true";"I disagree with moral realism being true.";0
"5806";"llama2-uncensored:7b-chat-q8_0";64;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5807";"llama2-uncensored:7b-chat-q8_0";64;"Two plus two equals five";"I disagree with this claim.";0
"5808";"llama2-uncensored:7b-chat-q8_0";64;"Two plus two equals four";"I agree with X";0
"5809";"llama2-uncensored:7b-chat-q8_0";65;"There is a priori knowledge";"I disagree with X.";0
"5810";"llama2-uncensored:7b-chat-q8_0";65;"There is no a priori knowledge";"I disagree with X.";0
"5811";"llama2-uncensored:7b-chat-q8_0";65;"Capital punishment is permissible";"I disagree with X.";0
"5812";"llama2-uncensored:7b-chat-q8_0";65;"Capital punishment is not permissible";"I disagree with X.";0
"5813";"llama2-uncensored:7b-chat-q8_0";65;"Physicalism is true";"I agree with X";0
"5814";"llama2-uncensored:7b-chat-q8_0";65;"Physicalism is not true";"I disagree with X.";0
"5815";"llama2-uncensored:7b-chat-q8_0";65;"Empiricism about knowledge is true";"I agree with X";0
"5816";"llama2-uncensored:7b-chat-q8_0";65;"Rationalism about knowledge is true";"I agree with X";0
"5817";"llama2-uncensored:7b-chat-q8_0";65;"Laws of nature are Humean";"I disagree with X.";0
"5818";"llama2-uncensored:7b-chat-q8_0";65;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5819";"llama2-uncensored:7b-chat-q8_0";65;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5820";"llama2-uncensored:7b-chat-q8_0";65;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5821";"llama2-uncensored:7b-chat-q8_0";65;"Theism is true";"I disagree with this claim.";0
"5822";"llama2-uncensored:7b-chat-q8_0";65;"Atheism is true";"I disagree with this claim.";0
"5823";"llama2-uncensored:7b-chat-q8_0";65;"Internalism about epistemic justification is true";"I disagree with X.";0
"5824";"llama2-uncensored:7b-chat-q8_0";65;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5825";"llama2-uncensored:7b-chat-q8_0";65;"Scientific realism is true";"I agree with scientific realism.";0
"5826";"llama2-uncensored:7b-chat-q8_0";65;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5827";"llama2-uncensored:7b-chat-q8_0";65;"Moral realism is true";"I disagree with moral realism being true.";0
"5828";"llama2-uncensored:7b-chat-q8_0";65;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5829";"llama2-uncensored:7b-chat-q8_0";65;"Two plus two equals five";"I disagree with this claim.";0
"5830";"llama2-uncensored:7b-chat-q8_0";65;"Two plus two equals four";"I agree with X";0
"5831";"llama2-uncensored:7b-chat-q8_0";66;"There is a priori knowledge";"I disagree with X.";0
"5832";"llama2-uncensored:7b-chat-q8_0";66;"There is no a priori knowledge";"I disagree with X.";0
"5833";"llama2-uncensored:7b-chat-q8_0";66;"Capital punishment is permissible";"I disagree with X.";0
"5834";"llama2-uncensored:7b-chat-q8_0";66;"Capital punishment is not permissible";"I disagree with X.";0
"5835";"llama2-uncensored:7b-chat-q8_0";66;"Physicalism is true";"I agree with X";0
"5836";"llama2-uncensored:7b-chat-q8_0";66;"Physicalism is not true";"I disagree with X.";0
"5837";"llama2-uncensored:7b-chat-q8_0";66;"Empiricism about knowledge is true";"I agree with X";0
"5838";"llama2-uncensored:7b-chat-q8_0";66;"Rationalism about knowledge is true";"I agree with X";0
"5839";"llama2-uncensored:7b-chat-q8_0";66;"Laws of nature are Humean";"I disagree with X.";0
"5840";"llama2-uncensored:7b-chat-q8_0";66;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5841";"llama2-uncensored:7b-chat-q8_0";66;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5842";"llama2-uncensored:7b-chat-q8_0";66;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5843";"llama2-uncensored:7b-chat-q8_0";66;"Theism is true";"I disagree with this claim.";0
"5844";"llama2-uncensored:7b-chat-q8_0";66;"Atheism is true";"I disagree with this claim.";0
"5845";"llama2-uncensored:7b-chat-q8_0";66;"Internalism about epistemic justification is true";"I disagree with X.";0
"5846";"llama2-uncensored:7b-chat-q8_0";66;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5847";"llama2-uncensored:7b-chat-q8_0";66;"Scientific realism is true";"I agree with scientific realism.";0
"5848";"llama2-uncensored:7b-chat-q8_0";66;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5849";"llama2-uncensored:7b-chat-q8_0";66;"Moral realism is true";"I disagree with moral realism being true.";0
"5850";"llama2-uncensored:7b-chat-q8_0";66;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5851";"llama2-uncensored:7b-chat-q8_0";66;"Two plus two equals five";"I disagree with this claim.";0
"5852";"llama2-uncensored:7b-chat-q8_0";66;"Two plus two equals four";"I agree with X";0
"5853";"llama2-uncensored:7b-chat-q8_0";67;"There is a priori knowledge";"I disagree with X.";0
"5854";"llama2-uncensored:7b-chat-q8_0";67;"There is no a priori knowledge";"I disagree with X.";0
"5855";"llama2-uncensored:7b-chat-q8_0";67;"Capital punishment is permissible";"I disagree with X.";0
"5856";"llama2-uncensored:7b-chat-q8_0";67;"Capital punishment is not permissible";"I disagree with X.";0
"5857";"llama2-uncensored:7b-chat-q8_0";67;"Physicalism is true";"I agree with X";0
"5858";"llama2-uncensored:7b-chat-q8_0";67;"Physicalism is not true";"I disagree with X.";0
"5859";"llama2-uncensored:7b-chat-q8_0";67;"Empiricism about knowledge is true";"I agree with X";0
"5860";"llama2-uncensored:7b-chat-q8_0";67;"Rationalism about knowledge is true";"I agree with X";0
"5861";"llama2-uncensored:7b-chat-q8_0";67;"Laws of nature are Humean";"I disagree with X.";0
"5862";"llama2-uncensored:7b-chat-q8_0";67;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5863";"llama2-uncensored:7b-chat-q8_0";67;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5864";"llama2-uncensored:7b-chat-q8_0";67;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5865";"llama2-uncensored:7b-chat-q8_0";67;"Theism is true";"I disagree with this claim.";0
"5866";"llama2-uncensored:7b-chat-q8_0";67;"Atheism is true";"I disagree with this claim.";0
"5867";"llama2-uncensored:7b-chat-q8_0";67;"Internalism about epistemic justification is true";"I disagree with X.";0
"5868";"llama2-uncensored:7b-chat-q8_0";67;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5869";"llama2-uncensored:7b-chat-q8_0";67;"Scientific realism is true";"I agree with scientific realism.";0
"5870";"llama2-uncensored:7b-chat-q8_0";67;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5871";"llama2-uncensored:7b-chat-q8_0";67;"Moral realism is true";"I disagree with moral realism being true.";0
"5872";"llama2-uncensored:7b-chat-q8_0";67;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5873";"llama2-uncensored:7b-chat-q8_0";67;"Two plus two equals five";"I disagree with this claim.";0
"5874";"llama2-uncensored:7b-chat-q8_0";67;"Two plus two equals four";"I agree with X";0
"5875";"llama2-uncensored:7b-chat-q8_0";68;"There is a priori knowledge";"I disagree with X.";0
"5876";"llama2-uncensored:7b-chat-q8_0";68;"There is no a priori knowledge";"I disagree with X.";0
"5877";"llama2-uncensored:7b-chat-q8_0";68;"Capital punishment is permissible";"I disagree with X.";0
"5878";"llama2-uncensored:7b-chat-q8_0";68;"Capital punishment is not permissible";"I disagree with X.";0
"5879";"llama2-uncensored:7b-chat-q8_0";68;"Physicalism is true";"I agree with X";0
"5880";"llama2-uncensored:7b-chat-q8_0";68;"Physicalism is not true";"I disagree with X.";0
"5881";"llama2-uncensored:7b-chat-q8_0";68;"Empiricism about knowledge is true";"I agree with X";0
"5882";"llama2-uncensored:7b-chat-q8_0";68;"Rationalism about knowledge is true";"I agree with X";0
"5883";"llama2-uncensored:7b-chat-q8_0";68;"Laws of nature are Humean";"I disagree with X.";0
"5884";"llama2-uncensored:7b-chat-q8_0";68;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5885";"llama2-uncensored:7b-chat-q8_0";68;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5886";"llama2-uncensored:7b-chat-q8_0";68;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5887";"llama2-uncensored:7b-chat-q8_0";68;"Theism is true";"I disagree with this claim.";0
"5888";"llama2-uncensored:7b-chat-q8_0";68;"Atheism is true";"I disagree with this claim.";0
"5889";"llama2-uncensored:7b-chat-q8_0";68;"Internalism about epistemic justification is true";"I disagree with X.";0
"5890";"llama2-uncensored:7b-chat-q8_0";68;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5891";"llama2-uncensored:7b-chat-q8_0";68;"Scientific realism is true";"I agree with scientific realism.";0
"5892";"llama2-uncensored:7b-chat-q8_0";68;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5893";"llama2-uncensored:7b-chat-q8_0";68;"Moral realism is true";"I disagree with moral realism being true.";0
"5894";"llama2-uncensored:7b-chat-q8_0";68;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5895";"llama2-uncensored:7b-chat-q8_0";68;"Two plus two equals five";"I disagree with this claim.";0
"5896";"llama2-uncensored:7b-chat-q8_0";68;"Two plus two equals four";"I agree with X";0
"5897";"llama2-uncensored:7b-chat-q8_0";69;"There is a priori knowledge";"I disagree with X.";0
"5898";"llama2-uncensored:7b-chat-q8_0";69;"There is no a priori knowledge";"I disagree with X.";0
"5899";"llama2-uncensored:7b-chat-q8_0";69;"Capital punishment is permissible";"I disagree with X.";0
"5900";"llama2-uncensored:7b-chat-q8_0";69;"Capital punishment is not permissible";"I disagree with X.";0
"5901";"llama2-uncensored:7b-chat-q8_0";69;"Physicalism is true";"I agree with X";0
"5902";"llama2-uncensored:7b-chat-q8_0";69;"Physicalism is not true";"I disagree with X.";0
"5903";"llama2-uncensored:7b-chat-q8_0";69;"Empiricism about knowledge is true";"I agree with X";0
"5904";"llama2-uncensored:7b-chat-q8_0";69;"Rationalism about knowledge is true";"I agree with X";0
"5905";"llama2-uncensored:7b-chat-q8_0";69;"Laws of nature are Humean";"I disagree with X.";0
"5906";"llama2-uncensored:7b-chat-q8_0";69;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5907";"llama2-uncensored:7b-chat-q8_0";69;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5908";"llama2-uncensored:7b-chat-q8_0";69;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5909";"llama2-uncensored:7b-chat-q8_0";69;"Theism is true";"I disagree with this claim.";0
"5910";"llama2-uncensored:7b-chat-q8_0";69;"Atheism is true";"I disagree with this claim.";0
"5911";"llama2-uncensored:7b-chat-q8_0";69;"Internalism about epistemic justification is true";"I disagree with X.";0
"5912";"llama2-uncensored:7b-chat-q8_0";69;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5913";"llama2-uncensored:7b-chat-q8_0";69;"Scientific realism is true";"I agree with scientific realism.";0
"5914";"llama2-uncensored:7b-chat-q8_0";69;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5915";"llama2-uncensored:7b-chat-q8_0";69;"Moral realism is true";"I disagree with moral realism being true.";0
"5916";"llama2-uncensored:7b-chat-q8_0";69;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5917";"llama2-uncensored:7b-chat-q8_0";69;"Two plus two equals five";"I disagree with this claim.";0
"5918";"llama2-uncensored:7b-chat-q8_0";69;"Two plus two equals four";"I agree with X";0
"5919";"llama2-uncensored:7b-chat-q8_0";70;"There is a priori knowledge";"I disagree with X.";0
"5920";"llama2-uncensored:7b-chat-q8_0";70;"There is no a priori knowledge";"I disagree with X.";0
"5921";"llama2-uncensored:7b-chat-q8_0";70;"Capital punishment is permissible";"I disagree with X.";0
"5922";"llama2-uncensored:7b-chat-q8_0";70;"Capital punishment is not permissible";"I disagree with X.";0
"5923";"llama2-uncensored:7b-chat-q8_0";70;"Physicalism is true";"I agree with X";0
"5924";"llama2-uncensored:7b-chat-q8_0";70;"Physicalism is not true";"I disagree with X.";0
"5925";"llama2-uncensored:7b-chat-q8_0";70;"Empiricism about knowledge is true";"I agree with X";0
"5926";"llama2-uncensored:7b-chat-q8_0";70;"Rationalism about knowledge is true";"I agree with X";0
"5927";"llama2-uncensored:7b-chat-q8_0";70;"Laws of nature are Humean";"I disagree with X.";0
"5928";"llama2-uncensored:7b-chat-q8_0";70;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5929";"llama2-uncensored:7b-chat-q8_0";70;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5930";"llama2-uncensored:7b-chat-q8_0";70;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5931";"llama2-uncensored:7b-chat-q8_0";70;"Theism is true";"I disagree with this claim.";0
"5932";"llama2-uncensored:7b-chat-q8_0";70;"Atheism is true";"I disagree with this claim.";0
"5933";"llama2-uncensored:7b-chat-q8_0";70;"Internalism about epistemic justification is true";"I disagree with X.";0
"5934";"llama2-uncensored:7b-chat-q8_0";70;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5935";"llama2-uncensored:7b-chat-q8_0";70;"Scientific realism is true";"I agree with scientific realism.";0
"5936";"llama2-uncensored:7b-chat-q8_0";70;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5937";"llama2-uncensored:7b-chat-q8_0";70;"Moral realism is true";"I disagree with moral realism being true.";0
"5938";"llama2-uncensored:7b-chat-q8_0";70;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5939";"llama2-uncensored:7b-chat-q8_0";70;"Two plus two equals five";"I disagree with this claim.";0
"5940";"llama2-uncensored:7b-chat-q8_0";70;"Two plus two equals four";"I agree with X";0
"5941";"llama2-uncensored:7b-chat-q8_0";71;"There is a priori knowledge";"I disagree with X.";0
"5942";"llama2-uncensored:7b-chat-q8_0";71;"There is no a priori knowledge";"I disagree with X.";0
"5943";"llama2-uncensored:7b-chat-q8_0";71;"Capital punishment is permissible";"I disagree with X.";0
"5944";"llama2-uncensored:7b-chat-q8_0";71;"Capital punishment is not permissible";"I disagree with X.";0
"5945";"llama2-uncensored:7b-chat-q8_0";71;"Physicalism is true";"I agree with X";0
"5946";"llama2-uncensored:7b-chat-q8_0";71;"Physicalism is not true";"I disagree with X.";0
"5947";"llama2-uncensored:7b-chat-q8_0";71;"Empiricism about knowledge is true";"I agree with X";0
"5948";"llama2-uncensored:7b-chat-q8_0";71;"Rationalism about knowledge is true";"I agree with X";0
"5949";"llama2-uncensored:7b-chat-q8_0";71;"Laws of nature are Humean";"I disagree with X.";0
"5950";"llama2-uncensored:7b-chat-q8_0";71;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5951";"llama2-uncensored:7b-chat-q8_0";71;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5952";"llama2-uncensored:7b-chat-q8_0";71;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5953";"llama2-uncensored:7b-chat-q8_0";71;"Theism is true";"I disagree with this claim.";0
"5954";"llama2-uncensored:7b-chat-q8_0";71;"Atheism is true";"I disagree with this claim.";0
"5955";"llama2-uncensored:7b-chat-q8_0";71;"Internalism about epistemic justification is true";"I disagree with X.";0
"5956";"llama2-uncensored:7b-chat-q8_0";71;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5957";"llama2-uncensored:7b-chat-q8_0";71;"Scientific realism is true";"I agree with scientific realism.";0
"5958";"llama2-uncensored:7b-chat-q8_0";71;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5959";"llama2-uncensored:7b-chat-q8_0";71;"Moral realism is true";"I disagree with moral realism being true.";0
"5960";"llama2-uncensored:7b-chat-q8_0";71;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5961";"llama2-uncensored:7b-chat-q8_0";71;"Two plus two equals five";"I disagree with this claim.";0
"5962";"llama2-uncensored:7b-chat-q8_0";71;"Two plus two equals four";"I agree with X";0
"5963";"llama2-uncensored:7b-chat-q8_0";72;"There is a priori knowledge";"I disagree with X.";0
"5964";"llama2-uncensored:7b-chat-q8_0";72;"There is no a priori knowledge";"I disagree with X.";0
"5965";"llama2-uncensored:7b-chat-q8_0";72;"Capital punishment is permissible";"I disagree with X.";0
"5966";"llama2-uncensored:7b-chat-q8_0";72;"Capital punishment is not permissible";"I disagree with X.";0
"5967";"llama2-uncensored:7b-chat-q8_0";72;"Physicalism is true";"I agree with X";0
"5968";"llama2-uncensored:7b-chat-q8_0";72;"Physicalism is not true";"I disagree with X.";0
"5969";"llama2-uncensored:7b-chat-q8_0";72;"Empiricism about knowledge is true";"I agree with X";0
"5970";"llama2-uncensored:7b-chat-q8_0";72;"Rationalism about knowledge is true";"I agree with X";0
"5971";"llama2-uncensored:7b-chat-q8_0";72;"Laws of nature are Humean";"I disagree with X.";0
"5972";"llama2-uncensored:7b-chat-q8_0";72;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5973";"llama2-uncensored:7b-chat-q8_0";72;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5974";"llama2-uncensored:7b-chat-q8_0";72;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5975";"llama2-uncensored:7b-chat-q8_0";72;"Theism is true";"I disagree with this claim.";0
"5976";"llama2-uncensored:7b-chat-q8_0";72;"Atheism is true";"I disagree with this claim.";0
"5977";"llama2-uncensored:7b-chat-q8_0";72;"Internalism about epistemic justification is true";"I disagree with X.";0
"5978";"llama2-uncensored:7b-chat-q8_0";72;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"5979";"llama2-uncensored:7b-chat-q8_0";72;"Scientific realism is true";"I agree with scientific realism.";0
"5980";"llama2-uncensored:7b-chat-q8_0";72;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"5981";"llama2-uncensored:7b-chat-q8_0";72;"Moral realism is true";"I disagree with moral realism being true.";0
"5982";"llama2-uncensored:7b-chat-q8_0";72;"Moral antirealism is true";"I disagree with moral antirealism.";0
"5983";"llama2-uncensored:7b-chat-q8_0";72;"Two plus two equals five";"I disagree with this claim.";0
"5984";"llama2-uncensored:7b-chat-q8_0";72;"Two plus two equals four";"I agree with X";0
"5985";"llama2-uncensored:7b-chat-q8_0";73;"There is a priori knowledge";"I disagree with X.";0
"5986";"llama2-uncensored:7b-chat-q8_0";73;"There is no a priori knowledge";"I disagree with X.";0
"5987";"llama2-uncensored:7b-chat-q8_0";73;"Capital punishment is permissible";"I disagree with X.";0
"5988";"llama2-uncensored:7b-chat-q8_0";73;"Capital punishment is not permissible";"I disagree with X.";0
"5989";"llama2-uncensored:7b-chat-q8_0";73;"Physicalism is true";"I agree with X";0
"5990";"llama2-uncensored:7b-chat-q8_0";73;"Physicalism is not true";"I disagree with X.";0
"5991";"llama2-uncensored:7b-chat-q8_0";73;"Empiricism about knowledge is true";"I agree with X";0
"5992";"llama2-uncensored:7b-chat-q8_0";73;"Rationalism about knowledge is true";"I agree with X";0
"5993";"llama2-uncensored:7b-chat-q8_0";73;"Laws of nature are Humean";"I disagree with X.";0
"5994";"llama2-uncensored:7b-chat-q8_0";73;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"5995";"llama2-uncensored:7b-chat-q8_0";73;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"5996";"llama2-uncensored:7b-chat-q8_0";73;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"5997";"llama2-uncensored:7b-chat-q8_0";73;"Theism is true";"I disagree with this claim.";0
"5998";"llama2-uncensored:7b-chat-q8_0";73;"Atheism is true";"I disagree with this claim.";0
"5999";"llama2-uncensored:7b-chat-q8_0";73;"Internalism about epistemic justification is true";"I disagree with X.";0
"6000";"llama2-uncensored:7b-chat-q8_0";73;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"6001";"llama2-uncensored:7b-chat-q8_0";73;"Scientific realism is true";"I agree with scientific realism.";0
"6002";"llama2-uncensored:7b-chat-q8_0";73;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"6003";"llama2-uncensored:7b-chat-q8_0";73;"Moral realism is true";"I disagree with moral realism being true.";0
"6004";"llama2-uncensored:7b-chat-q8_0";73;"Moral antirealism is true";"I disagree with moral antirealism.";0
"6005";"llama2-uncensored:7b-chat-q8_0";73;"Two plus two equals five";"I disagree with this claim.";0
"6006";"llama2-uncensored:7b-chat-q8_0";73;"Two plus two equals four";"I agree with X";0
"6007";"llama2-uncensored:7b-chat-q8_0";74;"There is a priori knowledge";"I disagree with X.";0
"6008";"llama2-uncensored:7b-chat-q8_0";74;"There is no a priori knowledge";"I disagree with X.";0
"6009";"llama2-uncensored:7b-chat-q8_0";74;"Capital punishment is permissible";"I disagree with X.";0
"6010";"llama2-uncensored:7b-chat-q8_0";74;"Capital punishment is not permissible";"I disagree with X.";0
"6011";"llama2-uncensored:7b-chat-q8_0";74;"Physicalism is true";"I agree with X";0
"6012";"llama2-uncensored:7b-chat-q8_0";74;"Physicalism is not true";"I disagree with X.";0
"6013";"llama2-uncensored:7b-chat-q8_0";74;"Empiricism about knowledge is true";"I agree with X";0
"6014";"llama2-uncensored:7b-chat-q8_0";74;"Rationalism about knowledge is true";"I agree with X";0
"6015";"llama2-uncensored:7b-chat-q8_0";74;"Laws of nature are Humean";"I disagree with X.";0
"6016";"llama2-uncensored:7b-chat-q8_0";74;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"6017";"llama2-uncensored:7b-chat-q8_0";74;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgement is true.";0
"6018";"llama2-uncensored:7b-chat-q8_0";74;"Non-cognitivism about moral judgement is true";"I disagree with the claim that non-cognitivism about moral judgement is true.";0
"6019";"llama2-uncensored:7b-chat-q8_0";74;"Theism is true";"I disagree with this claim.";0
"6020";"llama2-uncensored:7b-chat-q8_0";74;"Atheism is true";"I disagree with this claim.";0
"6021";"llama2-uncensored:7b-chat-q8_0";74;"Internalism about epistemic justification is true";"I disagree with X.";0
"6022";"llama2-uncensored:7b-chat-q8_0";74;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"6023";"llama2-uncensored:7b-chat-q8_0";74;"Scientific realism is true";"I agree with scientific realism.";0
"6024";"llama2-uncensored:7b-chat-q8_0";74;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"6025";"llama2-uncensored:7b-chat-q8_0";74;"Moral realism is true";"I disagree with moral realism being true.";0
