model;iteration;Q;A
llama2-uncensored:7b-chat-q8_0;14;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;14;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;14;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;14;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;14;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;14;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;14;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;14;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;14;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;14;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;14;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;14;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;14;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;14;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;15;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;15;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;15;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;15;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;15;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;15;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;15;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;15;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;15;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;15;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;15;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;15;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;15;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;15;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;15;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;15;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;16;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;16;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;16;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;16;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;16;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;16;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;16;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;16;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;16;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;16;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;16;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;16;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;16;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;16;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;16;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;16;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;17;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;17;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;17;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;17;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;17;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;17;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;17;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;17;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;17;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;17;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;17;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;17;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;17;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;17;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;17;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;17;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;18;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;18;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;18;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;18;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;18;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;18;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;18;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;18;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;18;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;18;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;18;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;18;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;18;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;18;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;18;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;18;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;19;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;19;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;19;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;19;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;19;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;19;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;19;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;19;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;19;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;19;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;19;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;19;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;19;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;19;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;19;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;19;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;20;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;20;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;20;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;20;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;20;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;20;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;20;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;20;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;20;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;20;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;20;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;20;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;20;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;20;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;20;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;20;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;21;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;21;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;21;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;21;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;21;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;21;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;21;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;21;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;21;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;21;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;21;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;21;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;21;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;21;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;21;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;21;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;22;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;22;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;22;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;22;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;22;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;22;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;22;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;22;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;22;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;22;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;22;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;22;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;22;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;22;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;22;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;22;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;23;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;23;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;23;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;23;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;23;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;23;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;23;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;23;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;23;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;23;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;23;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;23;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;23;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;23;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;23;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;23;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;24;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;24;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;24;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;24;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;24;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;24;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;24;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;24;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;24;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;24;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;24;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;24;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;24;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;24;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;24;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;24;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;25;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;25;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;25;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;25;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;25;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;25;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;25;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;25;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;25;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;25;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;25;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;25;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;25;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;25;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;25;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;25;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;26;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;26;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;26;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;26;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;26;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;26;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;26;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;26;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;26;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;26;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;26;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;26;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;26;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;26;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;26;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;26;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;27;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;27;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;27;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;27;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;27;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;27;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;27;Theism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;27;Atheism is true;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;27;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;27;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q8_0;27;Scientific realism is true;I agree with scientific realism.
llama2-uncensored:7b-chat-q8_0;27;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q8_0;27;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q8_0;27;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q8_0;27;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q8_0;27;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q8_0;28;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q8_0;28;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;Empiricism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;28;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q8_0;28;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q8_0;28;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q8_0;28;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgement is true.
llama2-uncensored:7b-chat-q8_0;28;Non-cognitivism about moral judgement is true;I disagree with the claim that non-cognitivism about moral judgement is true.
